config_id,weighted_count,weighted_time,unweighted_count,unweighted_time
0,944,5.9299,1054,5.5942
1,999,6.3397,1128,6.7841
2,960,4.7898,1070,5.1411
3,864,4.2612,993,4.6482
4,854,3.7713,984,4.1014
5,823,3.5904,924,3.8364
6,894,4.7037,1031,4.9399
7,993,4.7088,1100,4.9155
8,846,4.1627,919,4.2395
9,878,3.876,978,4.0677
10,863,3.8029,971,4.0565
11,817,3.1228,899,3.2866
12,940,4.5712,1051,4.7845
13,1021,5.9529,1144,6.2706
14,978,4.8136,1087,5.2288
15,984,5.1913,1104,5.4971
16,1003,5.3117,1113,5.7953
17,758,2.9563,864,3.1181
18,952,4.8016,1070,4.967
19,962,5.0615,1096,5.3205
20,998,4.93,1114,5.2639
21,970,3.9017,1089,4.2116
22,846,3.7571,954,4.0128
23,1031,5.4746,1134,5.6943
24,883,5.3086,1004,5.5977
25,927,3.8881,1025,4.0829
26,750,3.413,845,3.7828
27,906,4.2163,1032,4.5777
28,964,4.6621,1085,4.9369
29,1033,6.4633,1160,7.0642
30,1010,5.9512,1115,6.2447
31,945,4.8471,1042,4.9684
32,927,3.8894,1046,4.1153
33,968,4.8374,1081,4.9315
34,773,3.8787,907,4.3461
35,974,4.0865,1067,4.3492
36,796,3.6894,906,4.0118
37,540,2.096,622,2.1973
38,900,4.4552,1024,4.9704
39,957,5.6222,1098,6.3077
40,931,4.0367,1052,4.2665
41,841,2.8336,927,2.9246
42,1001,4.7925,1115,4.9824
43,827,3.4152,912,3.3864
44,859,4.6566,966,4.9071
45,1115,7.0107,1236,7.4034
46,1012,6.477,1138,6.8577
47,896,4.0857,1018,4.3028
48,996,5.3038,1109,5.6755
49,1018,5.1066,1117,5.4413
50,1042,6.7281,1162,7.4504
51,935,3.6493,1043,3.8805
52,1150,7.8916,1260,8.0701
53,885,3.4466,970,3.5255
54,904,3.388,1014,3.626
55,826,3.7379,939,3.9513
56,910,4.9113,1023,5.3797
57,818,4.3012,937,4.5241
58,919,4.1498,1012,4.1999
59,910,4.2915,1028,4.5001
60,1002,5.0049,1131,5.249
61,1067,6.6476,1176,7.0616
62,804,3.5455,920,3.7175
63,1075,6.422,1192,6.9533
64,965,5.6227,1106,5.9739
65,952,5.5647,1071,5.8268
66,937,4.3743,1049,4.5272
67,990,4.6397,1102,4.9416
68,679,3.0461,787,3.3539
69,910,5.2625,1031,5.4355
70,846,3.6456,949,3.9184
71,972,6.9076,1088,6.525
72,1032,6.5193,1146,6.8147
73,1075,5.8732,1191,6.1224
74,1004,5.4241,1136,5.5263
75,1040,5.7308,1168,5.9689
76,707,3.5512,820,3.6963
77,861,4.3023,987,4.4936
78,1033,6.3267,1170,6.4779
79,917,4.8654,1038,4.9039
80,941,4.5472,1056,4.6095
81,925,4.7125,1052,5.1467
82,961,5.2416,1109,5.4011
83,977,5.6561,1102,5.9312
84,945,5.5272,1070,5.6994
85,1011,5.2359,1117,5.6295
86,1072,5.9462,1169,6.3014
87,845,3.375,954,3.6498
88,1054,5.0127,1163,5.42
89,997,5.6931,1112,6.0146
90,924,4.1297,1035,4.3278
91,866,4.2147,971,4.498
92,1019,5.2136,1128,5.5607
93,1009,4.3481,1123,4.6196
94,1022,6.5638,1133,6.9
95,844,3.8478,950,4.2856
96,851,3.7516,977,3.9483
97,987,5.647,1116,5.9804
98,846,3.8888,946,4.2046
99,951,3.8858,1065,4.1138
